340858,81.2208,2.52E-07,70.308,-3.09E-07,3.15E-10,3.29E-14
669421,81.3883,5.10E-07,69.6812,-1.91E-06,1.69E-10,-2.81E-14
999836,81.3171,-2.16E-07,70.0209,1.03E-06,1.93E-10,9.21E-15
1.34E+06,81.5235,6.06E-07,70.3797,1.05E-06,3.60E-11,3.29E-14
1.67E+06,81.7619,7.25E-07,69.6545,-2.20E-06,3.83E-10,-1.88E-14
2.00E+06,81.9471,5.61E-07,69.3472,-9.31E-07,1.85E-10,2.39E-14
2.34E+06,82.0626,3.39E-07,69.1752,-5.05E-07,7.09E-11,-3.40E-14
2.67E+06,82.3737,9.45E-07,69.2066,9.56E-08,-8.38E-11,-4.63E-14
3.00E+06,82.6022,6.93E-07,68.3001,-2.75E-06,9.27E-11,5.08E-14
3.34E+06,82.755,4.48E-07,68.2883,-3.47E-08,7.66E-10,-2.67E-14
3.67E+06,82.6316,-3.75E-07,69.0367,2.27E-06,5.70E-10,1.03E-14
4.00E+06,82.8044,5.24E-07,68.6833,-1.07E-06,1.17E-12,4.30E-14
4.34E+06,83.2236,1.23E-06,67.3591,-3.89E-06,5.61E-10,-1.05E-14
4.67E+06,83.3675,4.37E-07,66.2667,-3.32E-06,9.19E-10,-2.13E-14
5.00E+06,83.5239,4.74E-07,65.8026,-1.41E-06,7.37E-11,-2.71E-15
5.34E+06,83.7851,7.67E-07,65.3702,-1.27E-06,3.16E-10,-4.38E-16
5.67E+06,83.6098,-5.33E-07,65.224,-4.44E-07,1.92E-10,1.20E-14
6.00E+06,83.5005,-3.31E-07,65.299,2.27E-07,7.12E-11,-1.42E-14
6.34E+06,84.0621,1.65E-06,63.621,-4.93E-06,4.82E-10,1.12E-14
6.67E+06,84.6709,1.85E-06,62.7578,-2.62E-06,-4.54E-10,-1.11E-14
7.00E+06,84.6952,7.31E-08,62.6772,-2.43E-07,5.52E-10,-1.58E-15
7.34E+06,84.6079,-2.57E-07,63.1724,1.46E-06,3.04E-10,3.89E-15
7.67E+06,84.4994,-3.30E-07,62.3424,-2.53E-06,1.91E-10,-1.23E-15
8.00E+06,84.6917,5.80E-07,61.2995,-3.15E-06,2.39E-10,-3.69E-15
8.34E+06,84.7785,2.56E-07,61.5785,8.22E-07,1.12E-10,5.72E-15
8.67E+06,83.9763,-2.44E-06,62.608,3.13E-06,4.20E-10,2.24E-14
9.00E+06,84.4674,1.49E-06,61.933,-2.05E-06,-1.21E-10,-2.10E-14
9.34E+06,84.3997,-1.99E-07,61.3824,-1.62E-06,9.39E-11,-1.04E-15
9.67E+06,84.7067,9.33E-07,60.047,-4.06E-06,7.74E-10,-1.19E-15
1.00E+07,84.804,2.95E-07,60.1842,4.16E-07,2.17E-10,-9.02E-15
1.03E+07,85.1147,9.11E-07,59.3421,-2.47E-06,1.90E-10,1.21E-14
1.07E+07,85.1302,4.72E-08,58.8714,-1.43E-06,-3.78E-12,-9.54E-15
1.10E+07,84.9549,-5.32E-07,58.8873,4.81E-08,1.69E-10,-7.32E-15
1.13E+07,84.9933,1.13E-07,58.657,-6.76E-07,5.26E-11,8.47E-15
1.17E+07,84.7322,-7.93E-07,58.8517,5.92E-07,-1.58E-10,1.07E-14
1.20E+07,83.1601,-4.76E-06,60.1621,3.97E-06,6.56E-10,4.15E-15
1.23E+07,83.4742,9.20E-07,60.7976,1.86E-06,2.88E-10,-1.13E-14
